druid,title,owner_id,collection_id,state,work_type,subtype
druid:sr671rt4985,Networked Improvement Community for Students with Disabilities: Lessons from the 2020-2021 School Year,899,103,deposited,text,Article
druid:xm135fq4562,Johann Heinrich Hottinger and the Systematic Organization of Jewish Literature.,611,76,deposited,text,Article
druid:pw936pt4261,COHERENCE FROM THE TOP: HOW INVESTING IN SCHOOL BOARDS MATTERS TO PUBLIC SCHOOLS,904,103,deposited,text,Article,Presentation slides
druid:xv665wg1672,US Credibility in ASEAN: Evaluating U.S. Foreign Policy Approaches in Southeast Asia,2933,21,deposited,text,Article
druid:bv005rc2419,Iran’s Large and Growing Financing Gap,989,125,deposited,text,Article
druid:fb108cx6951,Migration and Brain Drain from Iran,989,125,deposited,text,Article
druid:sn018ns9902,The Structure of Corruption in Iran,989,125,deposited,text,Article
druid:dk315vh2454,The Clash of Ideologies on Persian Twitter,989,125,deposited,text,Article
druid:vs964yq4641,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities, part 4",2766,218,deposited,text,Article
druid:ry793rb7304,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities, part 3",1069,218,deposited,text,Article
druid:nj094xr4238,Virtual Reality in Libraries is Common Sense,609,76,deposited,text,Article
druid:kp664hq2460,Helicopter Librarian: Expect the Unexpected,609,76,deposited,text,Article
druid:dv597rb0650,Tanvi Dutta Gupta's NSC ePortfolio,3635,69,deposited,mixed material,Image,Portfolio,Sound,Text,Article,Essay,Journal/periodical issue,Poetry reading,Report,Story
druid:tg593xx0974,Fiddlers Green College: Looking for Equitable Workforce Pathways in Silicon Valley,3327,203,deposited,text,Article
druid:tr806nn5051,Building sustainable communities: A project-based learning approach to modify student perceptions of the building industry,3327,203,deposited,text,Article
druid:bz705kb5899,Pirate-Teacher,609,76,deposited,text,Article
druid:tx458hz9258,Palau’s National Marine Sanctuary: Managing Ocean Change and Supporting Food Security,359,55,deposited,text,Article
druid:nz535vm1895,Brendan Sorrell's NSC ePortfolio,3583,69,deposited,mixed material,Image,Portfolio,Text,Video,Article,Essay,Presentation slides,Unedited recording,Video recording
druid:rd217dv2018,Aspen Stuart-Cunningham's ePortfolio,3716,69,deposited,mixed material,Image,Portfolio,Sound,Text,Video,Article,Essay,Podcast,Presentation recording,Presentation slides,Sound recording,Video recording
druid:bc884qy3778,"""Should Epistemic Security Be a Priority GCR Cause Area?""",4034,281,deposited,text,Article
druid:rg866ht6113,DISPUTE RESOLUTION CLAUSES IN INTERORGANIZATIONAL COORDINATION AGREEMENTS: A COMPARATIVE ANALYSIS,259,40,deposited,text,Article
druid:yx926fy9172,Using Large Language Models to Examine Family Stresses During Pandemic,3753,258,deposited,text,Article
druid:sw827xp3684,Gelatinous Organism Observations.,354,52,deposited,text,Article
druid:cd243px7965,Iran’s Population Dynamics and Demographic Window of Opportunity,989,125,deposited,text,Article
druid:wj672xx6605,Central Banking in Iran,989,125,deposited,text,Article
druid:yb661dy4059,Anticipating the Use of Hebrew Script in the LC/NACO Authority File,611,76,deposited,text,Article
druid:kn254ry7580,"The Outlook for Natural Gas, Electricity, and Renewable Energy in Iran",989,125,deposited,text,Article
druid:yq230db4236,Measures of Ordinal Segregation,11,104,deposited,text,Article
druid:tn225jn8039,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 5",2766,218,deposited,text,Article
druid:fr666rz8034,Training Language Models for Social Deduction with Multi-Agent Reinforcement Learning,4571,63,deposited,text,Article,Capstone,Technical report,Thesis
druid:cd621mx9245,"LIVING THE LONG HAUL: A THEMATIC ANALYSIS ON POST-ACUTE COVID SYNDROME PATIENT NARRATIVES IN MEDICAL CARE, IDENTITY, AND SOCIAL RELATIONS",4330,171,deposited,text,Article,Thesis
druid:gn930by3026,Scaffolding Middle-School Mathematics Curricula With Large Language Models,4441,258,deposited,text,Article,Poster
druid:pd787ty1500,Alternative Education Options: A Descriptive Study of California Continuation High Schools,930,104,deposited,text,Article
druid:mr229kr5041,Film pioneer's archive at Stanford reveals Hollywood treasure trove,4,79,decommissioned,text,Article,Interview
druid:qg336kj0164,Exploring Black Hole Discharge in Massive Electrodynamics,1849,70,deposited,text,Article
druid:gn971jv9741,Campus Leadership Amidst a Global Pandemic,1277,203,deposited,text,Article
druid:mr497gf0750,"Education, Gender and Development",909,104,deposited,text,Article
druid:sz744yj8829,The Stratified Economics of Open Access,6,104,deposited,text,Article
druid:dt570zp9020,Moving the Learning of Teaching Closer to Practice: Teacher Education Implications of School-based Inquiry Teams,1585,104,deposited,text,Article
druid:pg162vq2746,“But I mustn’t let myself be Philhellene”: Arnold J. Toynbee’s unpublished correspondence in the Hoover Institution archives (January–May 1921),4,79,decommissioned,text,Article,Preprint
druid:nt271jc2229,"Water and war: The effect of functioning chlorinated water stations in reducing waterborne diseases during conflict in northwest Syria, 2017–2021",3302,76,deposited,text,Article
druid:qv180wz3234,Juxtaposing Stakeholder Perceptions of Diversity in Higher Education Law,1277,79,deposited,text,Article
druid:ny406py1793,From E Pluribus Unum to E Pluribus Plures: Examining Assimilationist and Nationalist Narratives in American History Textbooks.,972,116,deposited,text,Article
druid:ms666sn9542,"Frozen Paths, Fluid Barriers: The Seasonal Geographies of Yalu River Border Security, 1931-1945",1062,145,deposited,text,Article
druid:cq873mf9976,Stanford scholar sheds light on Greek immigrant's rags-to-riches story,4,255,decommissioned,text,Article,Interview
druid:dt553mf1241,Render unto Caesar?: Presbyterian missionaries and the 1935 Shinto shrine controversy,1062,145,deposited,text,Article
druid:kc898fs7170,Rate-based Carbon Pricing Mechanism Design and Macroeconomic Impacts,2897,43,deposited,text,Article,Thesis
druid:vh837bb7784,Hannah's NSC portfolio,6,191,deposited,mixed material,Article,Essay,Map,Podcast,Story,Video art
druid:hc343gw0579,Majmūʻah-i suʼāl va javāb: Munāẓarah-i Riyāsat-i Rāmpūr,610,144,deposited,text,Article
druid:ky140rj0838,Effects of Racial Diversity on Complex Thinking in College Students,930,104,deposited,text,Article
druid:rw893fq8483,Seeing Thinking on the Web,49,104,deposited,text,Article
druid:qq663sy2467,Integrating Technology into Community Youth Research,930,104,deposited,text,Article
druid:tq738gv7898,Resistance as a Social Drama: A Study of Change-Oriented Encounters,57,104,deposited,text,Article
druid:qf824wk7672,Reading and Rewriting History,1584,104,deposited,text,Article
druid:wm346hj8366,Knowing their lines: how social boundaries undermine equity-based integration policies in United States and South African schools,1585,104,deposited,text,Article
druid:kv272hy1175,Reading and Reigning: Theories of Learning to Read as Political Objects,6,104,deposited,text,Article
druid:fj208tk8383,The Passion and Ingenuity of Learning in Tight Circumstances: Toward a Political Economy of Education,6,104,deposited,text,Article
druid:kh571vg9273,The Behest of Silence,6,104,deposited,text,Article
druid:jn852sy1896,Strategic Plan 2014-2018,260,40,deposited,text,Article
druid:xv245pv1701,Dual Language Learners - Effective Instruction in Early Childhood,931,104,deposited,text,Article
druid:zz038nb8269,Toward the Design of an Open Monograph Press,6,104,deposited,text,Article
druid:jx810tm3767,A Search for Alternative Solid Rocket Propellant Oxidizers,2527,203,deposited,text,Article,Conference session
druid:zb353kj7834,Time-lapse Microscopy      Dual-Axis Smartphone Slider      Open Source DIY,2365,5,deposited,text,Article,Report,Technical report
druid:jp399nn8804,Tren Maya: Trail of the Cultures.,972,116,deposited,text,Article
druid:gs834tz9068,"Modeling, Optimization, and Analysis of Water Reuse System Delivering Treated Urban Stormwater to Groundwater Recharge Ponds",998,128,deposited,text,Article
druid:tj409fm6721,History Assessments of Thinking: A Validity Study,909,104,deposited,text,Article
druid:vd487fn9291,Speech levels in DPRK society,1062,145,deposited,text,Article
druid:cs178qj9795,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 7",2766,218,deposited,text,Article
druid:dj031td5304,The globalization of Korean food,1062,145,deposited,text,Article
druid:fg927mj4024,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities, part 1",1069,218,deposited,text,Article
druid:mt806vw2488,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities, part 2",1069,218,deposited,text,Article
druid:fc895bx8081,Innovating at Speed and at Scale:  A Next Generation Infrastructure for Accelerating Semiconductor Technologies,60,168,decommissioned,text,Article,Technical report
druid:sy419wh8870,Governance Deadlock and Economic Crisis in Iran,989,125,deposited,text,Article
druid:zf298zm2018,"Improving the Reliability of Food Safety Disclosure: Restaurant Grading in Seattle and King County, Washington",628,79,deposited,text,Article
druid:vg397bt7899,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 8",2766,218,deposited,text,Article
druid:vp107sq9723,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 9",2766,218,deposited,text,Article
druid:pq689xj6189,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities, part 13",2766,218,deposited,text,Article
druid:cx513mf2813,The Superstition of Learning,6,104,deposited,text,Article
druid:mn804jy8641,Tools for Assessing Groundwater-Surface Water Connectivity Under the Sustainable Groundwater Management Act,257,40,deposited,text,Article
druid:xt622tg6135,Innovating at Speed and at Scale: A Next Generation Infrastructure for Accelerating Semiconductor Technologies,2651,203,deposited,text,Article,Policy brief,Working paper,White paper
druid:jm044yn4332,"BREAKING WORLDS: Religion, Law and Citizenship in Majoritarian India; The Story of Assam.",2341,144,deposited,text,Article
druid:rc797bt9574,Examination of age-associated gene expression oscillation in peritoneal macrophages via transpose-accessible chromatin sequencing (ATAC-seq),2393,168,deposited,text,Article,Technical report
druid:rr403rt1588,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 10",2766,218,deposited,text,Article
druid:yb936vv8634,Bibliography of Sexuality Studies in Latin America,754,144,deposited,text,Article
druid:vq329st6071,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities,  part 14",2766,218,deposited,text,Article
druid:hk958vb6629,Mary Sheldon Barnes and Pacific Slope collections at Stanford Libraries,23,7,deposited,text,Article
druid:bn738pb1938,"Publications and flyers by the Red Guard and mass organizations in Guangdong and other cities, part 15",2766,218,deposited,text,Article
druid:yr405yf9710,How should educational neuroscience conceptualise the relation between cognition and brain function? Mathematical reasoning as a network process,635,104,deposited,text,Article
druid:vt105qd7230,The Moab Design for Digital Object Versioning,6,76,deposited,text,Article
druid:dw122nb4780,A Guide to Water Quality Requirements Under the Sustainable Groundwater Management Act,257,40,deposited,text,Article
druid:fn420sr5712,Towards a Human Rights History of Bharatanatyam,2933,21,deposited,text,Article
druid:pg690kw3249,Human Trafficking as a Crime Against Humanity: Puerto Rico’s Innovative Approach to Human Rights Legislation,2933,21,deposited,text,Article,Thesis
druid:zf668sp7224,Large-scale hydraulic tomography and joint inversion of head and tracer data using the princial component geostatistical approach,1582,168,deposited,text,Article
druid:sx869kz6742,"Removal of trace organic chemicals in onsite wastewater soil treatment units: A laboratory experiment",1582,168,deposited,text,Article
druid:dy614jk5924,The Publisher's Pushback against NIH's Public Access and Scholarly Publishing Sustainability,6,104,deposited,text,Article
druid:vt641mb7004,Why Open Access to Research and Scholarship?,6,104,deposited,text,Article
druid:sg827vh0143,Beyond the Bubble: New History/Social Studies Assessments for the Common Core,49,104,deposited,text,Article
druid:vn011cv9237,Network Dynamics and Field Evolution: The Growth of Interorganizational Collaboration in the Life Sciences,57,104,deposited,text,Article
druid:sy549ng5817,Patterns of Hopelessness among American Indian Adolescents: Relationships by Levels of Acculturation and Residence,1583,104,deposited,text,Article
druid:qr691tb1732,What's Wrong With Inferences From Test Scores?,6,104,deposited,text,Article
druid:cp480hb5328,Variability in Community Characteristics and Spanish-Speaking Children's Home Language and Literacy Opportunities,1584,104,deposited,text,Article
druid:pz811wh1771,Preparing Students for Future Learning with Teachable Agents,11,104,deposited,text,Article
druid:cf800vj1972,"Derrida's Right to Philosophy, Then and Now",635,104,deposited,text,Article
druid:hs292sn8859,The Intellectual Properties of Learning: Locke's Lost Commonwealth,906,104,deposited,text,Article
druid:vc541fv0664,Professional Development and Teacher Learning: Mapping the Terrain,1585,104,deposited,text,Article
druid:gp094dc7826,Principles and Exemplars for Integrating Developmental Sciences Knowledge into Educator Preparation,4,104,deposited,text,Article
druid:dp504qz6414,"It isn't no slang that can be said about this stuff: Language, Identity, and Appropriating Science Discourse",1585,104,deposited,text,Article
druid:mf751kq7490,Success with Less Stress,57,104,deposited,text,Article
druid:gd915tx1639,Scientific and pragmatic challenges for bridging education and neuroscience,906,104,deposited,text,Article
druid:yk761rt2367,Parental involvement and the academic achievements of Hispanic students: Community literacy resources and home literacy practices among immigrant Latino families,1584,104,deposited,text,Article
druid:qk842bn7845,Quantentative and Squalortative,1583,104,deposited,text,Article
druid:bb317sb0380,Computer-supported collaborative video analysis,57,104,deposited,text,Article
druid:ky236bs4710,"'Malama the 'aina, Malama the people on the 'aina': The Reaction to Avatar in Hawai'i",906,104,deposited,text,Article
druid:qr749wh2737,Global Norming,4,104,deposited,text,Article
druid:fw804ck4277,A survey of the scholarly journals using Open Journal Systems,635,104,deposited,text,Article
druid:by786ht6640,Reading Like a Historian: A Document-based History Curriculum Intervention in Urban High Schools,49,104,deposited,text,Article
druid:dd763vz2381,A system without a plan: Emergence of an American system of higher education in the twentieth century,1586,104,deposited,text,Article
druid:ch289xy7677,Toward a Theory of Teacher Community,1584,104,deposited,text,Article
druid:wt654sd9926,Teaching Teachers to Build Equitable Classrooms,1583,104,deposited,text,Article
druid:kf051vr0345,Arguing to learn and learning to argue: Case studies of how students' argumentation relates to their scientific knowledge,57,104,deposited,text,Article
druid:ns646hk9492,Learning From the Experiences of Women of Color in Mentornet's One-on-One Program,4,104,deposited,text,Article
druid:ck324jz4501,Contemporaneous and longitudinal associations between social behavior and literacy achievement in a sample of low-income elementary school children,635,104,deposited,text,Article
druid:tr130hn2426,Vocabulary Assessment: What We Know and What We Need to Learn,1584,104,deposited,text,Article
druid:tf575bt0855,Making and Measuring the California History Standards,49,104,deposited,text,Article
druid:xz483fw4636,Patterns of Hispanic Students' Math Skill Proficiency in the Early Elementary Grades,11,104,deposited,text,Article
druid:tq755fn7789,"Family, Community, and School Influences on Resilience Among American Indian Adolescents in the Upper Midwest",1583,104,deposited,text,Article
druid:yx848sq6371,Presidential Address: Rethinking the Comparative and the International,1585,104,deposited,text,Article
druid:gn117qw5124,Evaluating Teacher Evaluation: What We Know about Value-Added Models and Other Methods,906,104,deposited,text,Article
druid:bt061by9214,How is Testing Supposed to Improve Schooling?,4,104,deposited,text,Article
druid:th223nr0723,Getting The Help We Need,49,104,deposited,text,Article
druid:ht795ry1377,The Cultural Work of Learning Disabilities,1583,104,deposited,text,Article
druid:fj828hg2133,Scholarly Communication Strategies in Latin America's Research-Intensive Universities,906,104,deposited,text,Article
druid:kt661md7112,"The Ethnography of Schooling Writ Large, 1955-2010",57,104,deposited,text,Article
druid:xj025pz5558,Learning-Related Behaviors and Literacy Achievement in Elementary School-Aged Children,635,104,deposited,text,Article
druid:ch161yb5928,The Tell-tale Body: The Constitution of Disabilities in School,1583,104,deposited,text,Article
druid:kd531fc4745,New Directions in Assessment: Using Library of Congress Sources to Assess Historical Understanding,906,104,deposited,text,Article
druid:qq566ny0539,Preparing College Students for a Digital Age:  A Survey of Instructional Approaches to Spotting Misinformation,909,104,deposited,text,Article
druid:yn244fq5325,"""It's My Mom's Recipe, and She Got It From a Video:"" How Food Videos are Changing Home Cooking Culture",972,116,deposited,text,Article
druid:jn841kg2179,Common Belief and the Cultural Curriculum: An Intergenerational Study of Historical Consciousness,1584,104,deposited,text,Article
druid:nd298zh8296,Can we afford theories of learning?,57,104,deposited,text,Article
druid:gn450ds5461,Stereotype Threat and the Student-Athlete,49,104,deposited,text,Article
druid:kd541jw7583,Why Full Engagement Matters,4,104,deposited,text,Article
druid:sr133sd4903,"Plans, Takes, and Mis-takes",1583,104,deposited,text,Article
druid:sk006gv3385,Sermon on educational research,1586,104,deposited,text,Article
druid:dg951ry1612,The Academic Ethics of Open Access to Research and Scholarship,906,104,deposited,text,Article
druid:tq487yw3360,Critical Literacy Lessons for the Intellectual Properties of Learning from Bede and Alcuin of York,49,104,deposited,text,Article
druid:gd758ch9175,The Nature of Spanish versus English Language Use at Home,4,104,deposited,text,Article
druid:ny213kn0075,Socrates Back on the Street: Wikipedia's Citing of the Stanford Encyclopedia of Philosophy,1584,104,deposited,text,Article
druid:yr189dt6858,Creating Community Change: Challenges and Tensions in Community Youth Research,930,104,deposited,text,Article
druid:fx000gf7824,Equity and Empathy: Toward Racial and Educational Achievement in the Obama Era,1585,104,deposited,text,Article
druid:sz150md9888,Reforming Rural Education: Understanding Teacher Expectations for Rural Youth,906,104,deposited,text,Article
druid:kj464qf4719,Open Access and Scholarly Publishing in Latin America: Ten Flavours and a Few Reflections,1584,104,deposited,text,Article
druid:zm369yx3532,Teachable Agents and the Protégé Effect: Increasing the Effort Towards Learning,635,104,deposited,text,Article
druid:cp475cd5409,Brazil's exception to the world-class university movement,4,104,deposited,text,Article
druid:fj431vr5001,Conditional Decoupling Assessing the Impact of National Human Rights Institutions,1586,104,deposited,text,Article
druid:gc177mc9158,Spatial Learning and Computer Simulations in Science,635,104,deposited,text,Article
druid:xf441kz3923,Toward a Theory of Generative Change: In Culturally and Linguistically Complex Classrooms,906,104,deposited,text,Article
druid:rp279rg5036,A Culpable CALP: Rethinking the conversational/academic language proficiency distinction in early literacy instruction,906,104,deposited,text,Article
druid:hh256cb4823,"Straddling Boundaries: Identity, Culture, and School",1585,104,deposited,text,Article
druid:bj473ny8179,Prospective Adaptation in the Use of External Representations,635,104,deposited,text,Article
druid:qd988vx9940,Toward an Interdisciplinary Understanding of Place: Lessons for Environmental Education,906,104,deposited,text,Article
druid:hv406ys6639,Preparing for Future Learning with a Tangible User Interface: the Case of Neuroscience,1586,104,deposited,text,Article
druid:pc650xr0271,"Virtue Ethics, Positive Psychology, and New Model of Science and Engineering Ethics Education",6,104,deposited,text,Article
druid:sh872vf5063,Exploring the Relationship between Virtue Ethics and Moral Identity,6,104,deposited,text,Article
druid:gv007bc7163,How Important Is Teaching Phonemic Awareness to Children Learning to Read in Spanish?,1586,104,deposited,text,Article
druid:fb400jz0057,Cultural Influences on the Neural Correlate of Moral Decision Making Processes,1586,104,deposited,text,Article
druid:mh742vv8247,Improving Epistemological Beliefs and Moral Judgment Through an STS-Based Science Ethics Education Program,1586,104,deposited,text,Article
druid:rz343gn2860,Leadership Development: An Examination of Individual and Programmatic Growth,6,104,deposited,text,Article
druid:bv312hg0210,Assumptions of Value-Added Models for Estimating School Effects,11,104,deposited,text,Article
druid:mp166vv1031,"Human rights in Social Science Textbooks: Cross-National Analyses, 1970-2008",11,104,deposited,text,Article
druid:sy662gs1407,Accounting for Excellence: Transforming Universities Into Organizational Actors,11,104,deposited,text,Article
druid:gm382rg4040,"National Incorporation of global Human rights: Worldwide Expansion of national Human rights Organizations, 1966-2004",11,104,deposited,text,Article
druid:rc931mt2167,The Valorization of Humanity and Diversity,11,104,deposited,text,Article
druid:qz062kg6411,Natalie Cross' NSC ePortfolio,2740,69,deposited,mixed material,Image,Text,Article,Essay,Geospatial data,Map,Photograph,Presentation slides,Remote sensing imagery,Report,Thesis
